Region,Year,LifeExpectancy
East Asia & Pacific,1960,54.50329597890574
East Asia & Pacific,1961,55.15749703361899
East Asia & Pacific,1962,55.876324983520114
East Asia & Pacific,1963,56.34306460118655
East Asia & Pacific,1964,56.72137442320369
East Asia & Pacific,1965,57.04137178642057
East Asia & Pacific,1966,57.38617073170732
East Asia & Pacific,1967,58.2374647330257
East Asia & Pacific,1968,58.540936717205014
East Asia & Pacific,1969,59.01817996044826
East Asia & Pacific,1970,59.237298615688864
East Asia & Pacific,1971,59.69989452867502
East Asia & Pacific,1972,59.9402972972973
East Asia & Pacific,1973,60.472663810151616
East Asia & Pacific,1974,60.81248384970336
East Asia & Pacific,1975,60.30266842452208
East Asia & Pacific,1976,60.73475873434411
East Asia & Pacific,1977,61.057520105471326
East Asia & Pacific,1978,61.39806657877389
East Asia & Pacific,1979,62.55443177323665
East Asia & Pacific,1980,63.24404482531312
East Asia & Pacific,1981,63.63801186552407
East Asia & Pacific,1982,64.00434344100198
East Asia & Pacific,1983,64.33713777191826
East Asia & Pacific,1984,64.73447659854978
East Asia & Pacific,1985,65.05133025708635
East Asia & Pacific,1986,65.34190705339486
East Asia & Pacific,1987,65.68751615029664
East Asia & Pacific,1988,65.98458866183257
East Asia & Pacific,1989,66.4959967040211
East Asia & Pacific,1990,66.76170402109426
East Asia & Pacific,1991,67.05944891232697
East Asia & Pacific,1992,67.30570336189848
East Asia & Pacific,1993,67.64454976928148
East Asia & Pacific,1994,67.89240738299274
East Asia & Pacific,1995,67.80290441661174
East Asia & Pacific,1996,68.10841661173369
East Asia & Pacific,1997,68.40107646671062
East Asia & Pacific,1998,68.6323150955834
East Asia & Pacific,1999,68.797195781147
East Asia & Pacific,2000,69.43192946605143
East Asia & Pacific,2001,69.72646934739619
East Asia & Pacific,2002,69.92252735662491
East Asia & Pacific,2003,70.40131641397495
East Asia & Pacific,2004,70.60069083717865
East Asia & Pacific,2005,70.89679894528676
East Asia & Pacific,2006,71.12681872116019
East Asia & Pacific,2007,71.32893144363877
East Asia & Pacific,2008,71.36896308503626
East Asia & Pacific,2009,71.67657613711273
East Asia & Pacific,2010,71.99782597231378
East Asia & Pacific,2011,72.22198879367173
East Asia & Pacific,2012,72.38801647989453
East Asia & Pacific,2013,72.6012135794331
East Asia & Pacific,2014,72.77128213579432
East Asia & Pacific,2015,72.92248516809492
East Asia & Pacific,2016,73.03430059327621
East Asia & Pacific,2017,73.21232696110745
East Asia & Pacific,2018,73.33600922874093
East Asia & Pacific,2019,73.47223467369808
East Asia & Pacific,2020,73.43301252471984
East Asia & Pacific,2021,72.92736519446275
East Asia & Pacific,2022,73.58926170072512
East Asia & Pacific,2023,73.98897165458142
Europe & Central Asia,1960,65.98664087468461
Europe & Central Asia,1961,66.32619428090833
Europe & Central Asia,1962,66.33438477712363
Europe & Central Asia,1963,66.65116947014299
Europe & Central Asia,1964,67.10520984020185
Europe & Central Asia,1965,67.381476450799
Europe & Central Asia,1966,67.67046593776283
Europe & Central Asia,1967,67.8906055508831
Europe & Central Asia,1968,68.00076408746847
Europe & Central Asia,1969,67.99289402859546
Europe & Central Asia,1970,68.2644646761985
Europe & Central Asia,1971,68.47404121110176
Europe & Central Asia,1972,68.73882800672835
Europe & Central Asia,1973,68.97657106812447
Europe & Central Asia,1974,68.94472329688814
Europe & Central Asia,1975,69.34982253994954
Europe & Central Asia,1976,69.56655424726662
Europe & Central Asia,1977,69.82642893187553
Europe & Central Asia,1978,69.9978645920942
Europe & Central Asia,1979,70.19434945332213
Europe & Central Asia,1980,70.36407989907485
Europe & Central Asia,1981,70.5896787216148
Europe & Central Asia,1982,70.84735155592935
Europe & Central Asia,1983,70.99104121110177
Europe & Central Asia,1984,71.20895458368376
Europe & Central Asia,1985,71.44579310344828
Europe & Central Asia,1986,71.83816526492852
Europe & Central Asia,1987,72.06332464255678
Europe & Central Asia,1988,71.96302270815812
Europe & Central Asia,1989,72.40971320437343
Europe & Central Asia,1990,72.46633431455004
Europe & Central Asia,1991,72.53130782169892
Europe & Central Asia,1992,72.13131623212784
Europe & Central Asia,1993,72.04282380151389
Europe & Central Asia,1994,72.50229983179143
Europe & Central Asia,1995,72.7125567703953
Europe & Central Asia,1996,73.10579058031959
Europe & Central Asia,1997,73.31478301093357
Europe & Central Asia,1998,73.528019764508
Europe & Central Asia,1999,73.5778708999159
Europe & Central Asia,2000,74.09402102607234
Europe & Central Asia,2001,74.45114970563499
Europe & Central Asia,2002,74.63525357443231
Europe & Central Asia,2003,74.87485702270817
Europe & Central Asia,2004,75.27389066442389
Europe & Central Asia,2005,75.40225315391085
Europe & Central Asia,2006,75.66901387720773
Europe & Central Asia,2007,75.91647308662743
Europe & Central Asia,2008,76.29128637510514
Europe & Central Asia,2009,76.58038772077377
Europe & Central Asia,2010,76.87931875525652
Europe & Central Asia,2011,77.28108830950379
Europe & Central Asia,2012,77.4781976450799
Europe & Central Asia,2013,77.75058620689656
Europe & Central Asia,2014,77.99419512195122
Europe & Central Asia,2015,78.02333809924308
Europe & Central Asia,2016,78.26071278385199
Europe & Central Asia,2017,78.43145416316233
Europe & Central Asia,2018,78.59415180824223
Europe & Central Asia,2019,78.80111774600506
Europe & Central Asia,2020,77.76336711522288
Europe & Central Asia,2021,77.35676576955424
Europe & Central Asia,2022,78.45537846930195
Europe & Central Asia,2023,79.06849243061396
Latin America & Caribbean,1960,58.19891753774681
Latin America & Caribbean,1961,58.59118350754937
Latin America & Caribbean,1962,59.18490534262485
Latin America & Caribbean,1963,59.54125493612079
Latin America & Caribbean,1964,60.09130778164924
Latin America & Caribbean,1965,60.51235540069687
Latin America & Caribbean,1966,61.014358885017415
Latin America & Caribbean,1967,61.43810975609757
Latin America & Caribbean,1968,61.79275087108014
Latin America & Caribbean,1969,62.12623112659698
Latin America & Caribbean,1970,62.31196283391405
Latin America & Caribbean,1971,62.925868757259
Latin America & Caribbean,1972,63.12881707317074
Latin America & Caribbean,1973,63.663534262485484
Latin America & Caribbean,1974,63.99165505226481
Latin America & Caribbean,1975,64.49671660859465
Latin America & Caribbean,1976,64.73257549361207
Latin America & Caribbean,1977,65.22895644599303
Latin America & Caribbean,1978,65.49892102206736
Latin America & Caribbean,1979,65.68149535423926
Latin America & Caribbean,1980,65.98194947735192
Latin America & Caribbean,1981,66.33220150987225
Latin America & Caribbean,1982,66.5247299651568
Latin America & Caribbean,1983,66.89539024390244
Latin America & Caribbean,1984,67.30107259001161
Latin America & Caribbean,1985,67.48943089430894
Latin America & Caribbean,1986,67.86014285714286
Latin America & Caribbean,1987,68.07627758420442
Latin America & Caribbean,1988,68.34903368176539
Latin America & Caribbean,1989,68.59402264808362
Latin America & Caribbean,1990,68.86452322880372
Latin America & Caribbean,1991,69.1204744483159
Latin America & Caribbean,1992,69.31594308943089
Latin America & Caribbean,1993,69.55248257839722
Latin America & Caribbean,1994,69.78708652729385
Latin America & Caribbean,1995,70.01472880371661
Latin America & Caribbean,1996,70.2696788617886
Latin America & Caribbean,1997,70.50971951219512
Latin America & Caribbean,1998,70.55322067363531
Latin America & Caribbean,1999,70.97118118466899
Latin America & Caribbean,2000,71.35129790940766
Latin America & Caribbean,2001,71.62004645760743
Latin America & Caribbean,2002,71.94861788617887
Latin America & Caribbean,2003,72.168975029036
Latin America & Caribbean,2004,72.34781358885017
Latin America & Caribbean,2005,72.61676074332172
Latin America & Caribbean,2006,72.8460569105691
Latin America & Caribbean,2007,72.99810511033681
Latin America & Caribbean,2008,73.16693844367015
Latin America & Caribbean,2009,73.36106271777004
Latin America & Caribbean,2010,73.17335365853658
Latin America & Caribbean,2011,73.76273983739837
Latin America & Caribbean,2012,73.97038269454123
Latin America & Caribbean,2013,74.14235888501742
Latin America & Caribbean,2014,74.27988792102207
Latin America & Caribbean,2015,74.37721602787457
Latin America & Caribbean,2016,74.43355458768873
Latin America & Caribbean,2017,74.40472125435541
Latin America & Caribbean,2018,74.72460743321719
Latin America & Caribbean,2019,74.7479593495935
Latin America & Caribbean,2020,73.83917886178862
Latin America & Caribbean,2021,72.52514982578397
Latin America & Caribbean,2022,74.75501219512196
Latin America & Caribbean,2023,75.37527409988385
"Middle East, North Africa, Afghanistan & Pakistan",1960,47.4771637630662
"Middle East, North Africa, Afghanistan & Pakistan",1961,49.335464523281594
"Middle East, North Africa, Afghanistan & Pakistan",1962,49.983817073170734
"Middle East, North Africa, Afghanistan & Pakistan",1963,49.82818699186991
"Middle East, North Africa, Afghanistan & Pakistan",1964,50.63237630662021
"Middle East, North Africa, Afghanistan & Pakistan",1965,51.36735191637631
"Middle East, North Africa, Afghanistan & Pakistan",1966,53.02486252771619
"Middle East, North Africa, Afghanistan & Pakistan",1967,53.70333037694013
"Middle East, North Africa, Afghanistan & Pakistan",1968,54.36665521064302
"Middle East, North Africa, Afghanistan & Pakistan",1969,55.08565521064302
"Middle East, North Africa, Afghanistan & Pakistan",1970,55.72783702882484
"Middle East, North Africa, Afghanistan & Pakistan",1971,56.23528603104212
"Middle East, North Africa, Afghanistan & Pakistan",1972,57.069553215077605
"Middle East, North Africa, Afghanistan & Pakistan",1973,57.665559866962305
"Middle East, North Africa, Afghanistan & Pakistan",1974,58.32730598669623
"Middle East, North Africa, Afghanistan & Pakistan",1975,58.57674390243903
"Middle East, North Africa, Afghanistan & Pakistan",1976,58.37632483370289
"Middle East, North Africa, Afghanistan & Pakistan",1977,60.05821618625277
"Middle East, North Africa, Afghanistan & Pakistan",1978,60.53125720620842
"Middle East, North Africa, Afghanistan & Pakistan",1979,61.11415188470067
"Middle East, North Africa, Afghanistan & Pakistan",1980,61.52561308203992
"Middle East, North Africa, Afghanistan & Pakistan",1981,61.82790687361419
"Middle East, North Africa, Afghanistan & Pakistan",1982,61.470273835920175
"Middle East, North Africa, Afghanistan & Pakistan",1983,62.95156319290466
"Middle East, North Africa, Afghanistan & Pakistan",1984,63.324411308204
"Middle East, North Africa, Afghanistan & Pakistan",1985,63.86917184035477
"Middle East, North Africa, Afghanistan & Pakistan",1986,64.51131596452329
"Middle East, North Africa, Afghanistan & Pakistan",1987,65.07947228381374
"Middle East, North Africa, Afghanistan & Pakistan",1988,65.4599889135255
"Middle East, North Africa, Afghanistan & Pakistan",1989,66.12569290465632
"Middle East, North Africa, Afghanistan & Pakistan",1990,66.3345821845175
"Middle East, North Africa, Afghanistan & Pakistan",1991,67.0649745493107
"Middle East, North Africa, Afghanistan & Pakistan",1992,67.54966914103925
"Middle East, North Africa, Afghanistan & Pakistan",1993,68.04329374337222
"Middle East, North Africa, Afghanistan & Pakistan",1994,68.22318451749734
"Middle East, North Africa, Afghanistan & Pakistan",1995,68.53631389183457
"Middle East, North Africa, Afghanistan & Pakistan",1996,68.83236479321316
"Middle East, North Africa, Afghanistan & Pakistan",1997,69.08570307529162
"Middle East, North Africa, Afghanistan & Pakistan",1998,69.34264687168611
"Middle East, North Africa, Afghanistan & Pakistan",1999,69.75476033934252
"Middle East, North Africa, Afghanistan & Pakistan",2000,70.10001378579004
"Middle East, North Africa, Afghanistan & Pakistan",2001,70.4748939554613
"Middle East, North Africa, Afghanistan & Pakistan",2002,70.86890774125132
"Middle East, North Africa, Afghanistan & Pakistan",2003,71.09459490986214
"Middle East, North Africa, Afghanistan & Pakistan",2004,71.47389925768823
"Middle East, North Africa, Afghanistan & Pakistan",2005,71.75604347826088
"Middle East, North Africa, Afghanistan & Pakistan",2006,71.99592895015907
"Middle East, North Africa, Afghanistan & Pakistan",2007,72.30703181336162
"Middle East, North Africa, Afghanistan & Pakistan",2008,72.67142841993636
"Middle East, North Africa, Afghanistan & Pakistan",2009,73.02942205726404
"Middle East, North Africa, Afghanistan & Pakistan",2010,73.38366171792153
"Middle East, North Africa, Afghanistan & Pakistan",2011,73.46355143160127
"Middle East, North Africa, Afghanistan & Pakistan",2012,73.539967126193
"Middle East, North Africa, Afghanistan & Pakistan",2013,73.80792364793214
"Middle East, North Africa, Afghanistan & Pakistan",2014,73.9538844114528
"Middle East, North Africa, Afghanistan & Pakistan",2015,74.08344962884412
"Middle East, North Africa, Afghanistan & Pakistan",2016,74.38406786850477
"Middle East, North Africa, Afghanistan & Pakistan",2017,74.65020148462354
"Middle East, North Africa, Afghanistan & Pakistan",2018,74.89254718981974
"Middle East, North Africa, Afghanistan & Pakistan",2019,75.30244220572641
"Middle East, North Africa, Afghanistan & Pakistan",2020,74.08140509013786
"Middle East, North Africa, Afghanistan & Pakistan",2021,73.5644835630965
"Middle East, North Africa, Afghanistan & Pakistan",2022,75.52219936373277
"Middle East, North Africa, Afghanistan & Pakistan",2023,75.48405408271474
North America,1960,69.12863414634147
North America,1961,69.7149430894309
North America,1962,69.79019512195123
North America,1963,69.66226829268292
North America,1964,69.8140650406504
North America,1965,69.88960975609757
North America,1966,69.97819512195123
North America,1967,70.1869268292683
North America,1968,70.06754471544716
North America,1969,70.36559349593496
North America,1970,70.63726829268292
North America,1971,71.0388617886179
North America,1972,71.24433333333333
North America,1973,71.63092682926829
North America,1974,72.01921951219514
North America,1975,72.43252845528455
North America,1976,72.68106504065041
North America,1977,73.02923577235772
North America,1978,73.28461788617886
North America,1979,73.69107317073171
North America,1980,73.79265040650408
North America,1981,74.13318699186992
North America,1982,74.37569918699187
North America,1983,74.58796747967479
North America,1984,74.75345528455286
North America,1985,74.75457723577237
North America,1986,74.81551219512195
North America,1987,74.99954471544716
North America,1988,75.05987804878049
North America,1989,75.29165040650408
North America,1990,75.53440650406505
North America,1991,75.72108943089431
North America,1992,75.9670406504065
North America,1993,75.96346341463415
North America,1994,76.25573983739838
North America,1995,76.50642276422765
North America,1996,76.92235772357724
North America,1997,77.27123577235773
North America,1998,77.53104878048781
North America,1999,77.75865040650406
North America,2000,78.01813821138212
North America,2001,78.29054471544715
North America,2002,78.43610569105691
North America,2003,78.4889024390244
North America,2004,78.79266666666666
North America,2005,78.82482926829267
North America,2006,79.0338211382114
North America,2007,79.17915447154472
North America,2008,79.28821951219513
North America,2009,79.56178048780488
North America,2010,79.75921951219512
North America,2011,79.92504878048781
North America,2012,80.08404065040651
North America,2013,80.16744715447156
North America,2014,80.2749512195122
North America,2015,80.28469918699187
North America,2016,80.31834146341464
North America,2017,80.3459837398374
North America,2018,80.47793495934961
North America,2019,80.73415447154473
North America,2020,79.99053658536586
North America,2021,79.86369918699187
North America,2022,80.24717073170733
North America,2023,80.78031707317074
South Asia,1960,43.909166666666664
South Asia,1961,44.35566666666667
South Asia,1962,44.82333333333333
South Asia,1963,45.13033333333333
South Asia,1964,45.6745
South Asia,1965,45.68449999999999
South Asia,1966,46.353
South Asia,1967,46.83016666666666
South Asia,1968,47.52983333333333
South Asia,1969,48.004333333333335
South Asia,1970,47.410333333333334
South Asia,1971,45.093999999999994
South Asia,1972,49.411833333333334
South Asia,1973,49.9035
South Asia,1974,50.34466666666666
South Asia,1975,51.06666666666666
South Asia,1976,51.67783333333333
South Asia,1977,52.31516666666667
South Asia,1978,52.533500000000004
South Asia,1979,53.595
South Asia,1980,54.204499999999996
South Asia,1981,54.7595
South Asia,1982,55.3305
South Asia,1983,55.8605
South Asia,1984,56.38016666666667
South Asia,1985,56.8795
South Asia,1986,57.464333333333336
South Asia,1987,57.998333333333335
South Asia,1988,58.499500000000005
South Asia,1989,58.75033333333334
South Asia,1990,59.56816666666666
South Asia,1991,59.659333333333336
South Asia,1992,60.702333333333335
South Asia,1993,61.31366666666667
South Asia,1994,61.88516666666667
South Asia,1995,62.36366666666667
South Asia,1996,62.928
South Asia,1997,63.50383333333334
South Asia,1998,64.09533333333333
South Asia,1999,64.6965
South Asia,2000,65.2255
South Asia,2001,66.01133333333333
South Asia,2002,66.56033333333333
South Asia,2003,67.16166666666668
South Asia,2004,66.74333333333334
South Asia,2005,68.24266666666666
South Asia,2006,68.64866666666667
South Asia,2007,69.046
South Asia,2008,69.33733333333333
South Asia,2009,69.27533333333334
South Asia,2010,70.32116666666667
South Asia,2011,70.73433333333334
South Asia,2012,71.14783333333334
South Asia,2013,71.523
South Asia,2014,71.86800000000001
South Asia,2015,72.10616666666667
South Asia,2016,72.566
South Asia,2017,72.88233333333334
South Asia,2018,73.20033333333333
South Asia,2019,73.51333333333334
South Asia,2020,73.09616666666666
South Asia,2021,72.258
South Asia,2022,74.47733333333333
South Asia,2023,74.75466666666667
Sub-Saharan Africa,1960,42.67410111788618
Sub-Saharan Africa,1961,43.04651676829268
Sub-Saharan Africa,1962,43.59774339430894
Sub-Saharan Africa,1963,43.84440142276423
Sub-Saharan Africa,1964,44.33582215447154
Sub-Saharan Africa,1965,44.605746951219515
Sub-Saharan Africa,1966,44.833489329268296
Sub-Saharan Africa,1967,45.25122154471544
Sub-Saharan Africa,1968,45.644610264227644
Sub-Saharan Africa,1969,45.689104166666674
Sub-Saharan Africa,1970,46.09407164634146
Sub-Saharan Africa,1971,46.60187601626016
Sub-Saharan Africa,1972,46.735245426829266
Sub-Saharan Africa,1973,47.45746341463414
Sub-Saharan Africa,1974,47.82049136178862
Sub-Saharan Africa,1975,48.073768800813006
Sub-Saharan Africa,1976,48.43414024390244
Sub-Saharan Africa,1977,49.11226981707318
Sub-Saharan Africa,1978,49.443711382113825
Sub-Saharan Africa,1979,49.880731707317075
Sub-Saharan Africa,1980,50.38798882113821
Sub-Saharan Africa,1981,50.68343648373983
Sub-Saharan Africa,1982,51.02852845528455
Sub-Saharan Africa,1983,50.787183943089424
Sub-Saharan Africa,1984,50.96286839430894
Sub-Saharan Africa,1985,51.261355691056906
Sub-Saharan Africa,1986,51.53770630081301
Sub-Saharan Africa,1987,51.75452693089431
Sub-Saharan Africa,1988,51.6080843495935
Sub-Saharan Africa,1989,52.100913617886185
Sub-Saharan Africa,1990,51.98698323170731
Sub-Saharan Africa,1991,51.788339430894304
Sub-Saharan Africa,1992,51.61823272357723
Sub-Saharan Africa,1993,51.92945020325203
Sub-Saharan Africa,1994,51.89307926829269
Sub-Saharan Africa,1995,52.34493292682927
Sub-Saharan Africa,1996,52.376268800813
Sub-Saharan Africa,1997,52.38252235772358
Sub-Saharan Africa,1998,52.10174288617886
Sub-Saharan Africa,1999,52.77431808943089
Sub-Saharan Africa,2000,53.505509654471545
Sub-Saharan Africa,2001,53.8636356707317
Sub-Saharan Africa,2002,54.235076219512194
Sub-Saharan Africa,2003,54.69059044715447
Sub-Saharan Africa,2004,55.25445477642276
Sub-Saharan Africa,2005,55.76593546747967
Sub-Saharan Africa,2006,56.396609756097554
Sub-Saharan Africa,2007,57.011909044715445
Sub-Saharan Africa,2008,57.58244054878049
Sub-Saharan Africa,2009,57.438945121951214
Sub-Saharan Africa,2010,58.61933079268292
Sub-Saharan Africa,2011,58.8621712398374
Sub-Saharan Africa,2012,59.80808384146342
Sub-Saharan Africa,2013,60.32126219512195
Sub-Saharan Africa,2014,60.32497205284553
Sub-Saharan Africa,2015,60.93204776422764
Sub-Saharan Africa,2016,61.337263211382115
Sub-Saharan Africa,2017,61.553638211382115
Sub-Saharan Africa,2018,62.47055843495935
Sub-Saharan Africa,2019,62.58348323170731
Sub-Saharan Africa,2020,62.97930538617886
Sub-Saharan Africa,2021,62.177204268292684
Sub-Saharan Africa,2022,63.06039735772358
Sub-Saharan Africa,2023,64.54789024390244
